mileage_km,car_age,engine_cc,fuel_efficiency,accident_count,price_man
64800,4,3500,13.2,3,4420
134700,8,3500,9.5,0,3190
26700,11,3000,10.9,3,3050
134700,10,1300,9.5,2,1180
178100,12,1300,18.6,1,1030
140800,11,3500,14.7,0,3170
90900,3,3500,14.6,1,4890
90500,8,3500,12.6,3,3160
154200,10,2500,8.4,3,1360
115300,8,1300,16.0,0,2310
21600,2,3500,9.9,2,5160
118600,11,1000,14.2,3,1230
163900,5,1600,14.6,1,2180
70700,14,1300,16.3,1,1720
185900,13,2000,11.3,1,780
151400,11,3500,13.1,1,2290
116900,15,1000,14.7,2,200
151600,12,3000,12.2,0,2050
20400,14,2000,12.4,2,2270
172600,8,3000,9.9,1,2180
165200,5,2000,10.7,0,2350
182400,8,1000,12.3,1,1180
30100,15,1000,9.2,1,1310
20900,9,1300,18.7,3,2750
32000,11,1600,13.3,0,3030
82900,15,2000,17.0,1,2090
87700,1,3000,13.6,3,4320
114600,3,2000,10.9,3,2320
28800,8,3000,13.1,3,3150
44300,5,1000,19.1,1,3720
163300,4,1600,20.0,3,2240
96300,8,3000,15.2,3,2970
162500,4,2000,15.7,2,2560
6400,8,3500,18.4,1,5150
112600,1,1000,19.0,1,3290
186700,14,3500,12.8,3,530
118500,8,3500,11.3,2,2870
45200,7,1300,16.6,3,2850
145000,14,1300,15.7,1,720
78900,9,2500,13.9,2,2770
135300,7,2500,17.9,2,3000
10700,11,3000,18.5,3,3280
129000,9,1300,16.5,2,1670
11300,1,1000,11.4,0,4470
150200,15,3500,15.4,1,1470
97200,13,1000,13.3,2,1220
28700,6,2500,19.9,2,3960
110800,4,1600,16.7,2,2900
18000,3,3000,18.3,0,5990
132400,5,1300,13.5,3,2170
199200,4,3000,9.4,3,2250
155000,4,3500,10.7,1,3420
116900,10,1600,17.4,1,2190
25000,8,3500,17.5,1,4630
141500,2,3000,14.8,2,3350
133900,9,2500,12.2,1,2090
14600,1,1600,14.7,2,4410
159500,2,3500,10.0,1,3650
106100,15,1000,16.5,3,240
88000,5,2000,10.3,3,2510
158700,8,2000,11.7,1,1820
85300,3,1600,12.1,1,2890
98800,13,2000,8.1,0,2120
40400,12,1600,13.1,0,2500
67700,12,1300,18.0,1,2030
169900,5,2500,10.1,1,2550
41400,9,1600,12.7,1,3260
