study_hours,sleep_hours,attendance,prev_score,private_lesson,score
12.0,4.8,64.4,52.6,2.1,62.2
18.4,6.8,79.7,53.2,0.3,77.5
1.8,8.7,60.5,52.4,1.8,53.5
3.9,7.5,78.7,58.9,5.8,71.2
0.9,6.9,62.3,49.2,4.2,50.3
6.5,4.5,64.8,45.1,8.9,63.9
7.8,7.1,64.7,47.7,8.2,67.1
5.4,9.0,86.0,69.0,3.4,73.8
16.6,4.7,89.8,68.9,2.6,93.5
7.1,6.6,83.3,53.8,3.8,63.9
5.6,8.4,98.5,70.0,5.9,71.3
10.9,7.7,75.0,63.5,2.7,77.3
2.8,7.5,71.4,42.3,6.2,60.1
16.0,7.5,94.7,71.7,4.1,94.8
1.5,5.8,68.9,49.1,5.5,56.9
19.7,5.5,98.5,73.8,4.4,91.7
15.4,8.0,60.5,44.1,2.9,76.1
4.0,8.1,98.8,55.0,9.5,74.4
0.1,8.3,61.7,37.8,7.6,55.6
16.3,8.6,95.6,68.2,1.4,87.6
14.1,6.6,81.1,62.6,8.7,87.8
14.6,6.5,99.7,62.6,4.9,88.3
15.4,8.0,63.0,56.6,8.9,88.2
1.5,7.2,82.2,47.8,8.0,62.2
7.2,7.5,98.8,68.9,4.3,72.8
2.3,8.0,80.9,50.8,0.2,55.7
17.3,8.5,85.2,57.4,2.7,88.9
12.5,5.7,87.8,64.3,5.4,75.4
6.6,5.9,78.2,52.2,6.3,67.2
1.3,4.5,85.1,59.5,2.6,54.1
6.2,6.9,83.4,69.8,1.4,66.8
6.5,4.2,96.0,63.4,8.3,76.6
14.6,6.3,61.8,57.6,9.8,81.7
12.8,6.7,71.2,46.6,5.3,73.1
17.7,5.4,98.0,73.2,1.7,81.7
9.4,7.0,95.6,79.3,2.7,80.2
2.4,4.2,78.2,39.3,0.2,51.5
14.3,4.2,84.8,56.0,9.1,89.8
15.2,8.1,71.1,60.2,1.2,76.4
11.2,5.8,67.5,52.1,5.8,71.8
15.4,4.6,78.5,62.2,2.7,79.1
9.9,6.6,74.1,52.2,5.5,76.5
10.5,7.8,83.3,62.3,6.5,76.6
8.6,5.1,63.1,50.3,8.3,68.5
0.5,7.1,99.0,78.8,2.1,65.4
2.2,4.4,99.4,71.7,0.1,60.7
0.6,4.3,87.9,66.7,1.4,53.7
12.7,6.7,81.4,57.4,9.0,81.1
6.3,6.7,72.4,52.3,8.7,71.5
10.2,7.2,92.6,62.8,6.0,73.0
18.2,7.6,87.4,66.9,6.0,91.0
5.0,8.9,66.5,49.9,6.7,60.8
8.2,6.6,96.4,70.5,1.8,76.9
15.1,5.6,92.9,83.1,9.1,85.4
4.6,8.0,98.0,76.0,4.2,69.0
1.5,5.4,89.0,61.9,3.8,60.5
5.8,6.2,84.5,71.9,5.2,75.8
3.2,4.4,76.7,55.1,0.5,54.1
18.6,4.1,97.3,52.3,1.7,80.0
16.2,8.8,94.6,59.2,7.4,96.1
12.7,8.2,61.8,35.9,0.8,60.1
17.4,7.5,61.1,47.7,6.0,71.5
16.1,6.0,75.1,57.7,2.5,80.3
3.7,4.9,92.4,79.6,3.9,65.1
17.9,4.8,99.5,72.4,2.9,84.0
10.8,5.3,66.0,51.2,3.6,70.3
16.1,6.7,83.8,68.5,7.2,88.3
17.9,7.6,75.2,39.9,3.0,76.4
6.4,7.3,98.8,71.3,5.7,68.7
2.2,5.4,93.7,73.0,4.8,68.0
4.6,8.8,93.5,54.9,6.6,70.7
8.5,7.7,78.7,68.5,9.4,76.8
16.4,6.8,76.6,61.0,7.3,92.4
17.2,7.1,70.9,52.1,2.1,74.5
0.1,6.1,62.3,56.2,0.3,42.6
10.2,5.2,94.6,85.5,2.6,75.6
8.3,5.8,92.5,67.7,6.0,73.9
4.4,7.8,100.0,72.0,0.5,67.7
2.4,4.1,99.9,66.3,5.0,62.2
6.8,4.6,82.2,54.3,6.0,67.3
18.9,4.2,90.8,72.0,3.3,83.2
6.5,4.2,97.8,62.1,7.7,76.7
10.4,8.3,94.0,67.6,1.1,74.9
14.1,7.5,69.9,51.1,0.8,77.0
7.3,6.4,78.0,62.8,7.3,72.1
19.4,4.5,65.2,55.3,5.0,84.6
19.2,6.5,98.2,77.4,6.9,98.5
5.0,6.4,84.2,58.0,4.3,65.9
9.9,4.9,69.1,52.4,2.5,68.0
6.0,6.2,86.9,55.6,8.2,74.2
5.7,6.0,84.7,58.8,8.0,69.3
0.7,7.1,74.3,60.2,6.9,62.0
12.2,7.2,64.5,58.3,2.7,71.6
10.1,4.2,86.9,56.1,5.9,77.7
1.0,5.9,80.8,67.4,3.6,55.8
5.6,7.1,90.9,76.3,0.9,75.4
18.2,6.5,80.8,63.7,9.2,90.5
4.8,8.3,94.1,82.1,1.4,64.5
2.9,7.3,82.1,54.9,9.5,65.6
9.8,4.8,82.4,51.2,4.5,66.0
19.7,4.4,95.1,53.3,1.9,87.7
4.8,7.2,76.1,70.0,5.4,64.6
13.4,4.1,65.4,57.9,8.7,75.1
15.2,6.9,61.2,50.2,7.3,70.6
4.8,8.7,90.2,67.3,8.1,70.5
14.6,6.9,84.8,53.4,6.6,71.2
7.4,5.9,88.2,83.7,6.9,70.6
12.6,7.2,68.5,55.3,8.5,80.7
12.7,6.3,65.5,53.6,2.5,74.0
10.7,6.7,60.6,56.1,4.9,71.7
1.8,8.7,74.0,60.8,2.2,54.3
16.7,5.9,83.6,63.6,9.9,88.6
6.4,8.8,75.7,51.5,9.4,70.0
3.7,8.5,77.5,62.5,0.4,55.7
0.8,5.0,96.2,83.2,7.1,72.9
11.8,4.3,73.9,67.7,9.3,82.2
13.6,4.5,80.6,73.0,1.8,76.4
0.3,4.1,91.3,61.6,5.7,58.1
10.2,4.5,75.9,50.0,9.2,72.9
4.5,7.4,84.9,61.4,0.3,53.3
12.9,4.4,94.5,67.7,7.0,80.6
3.5,5.6,98.0,77.8,3.0,64.2
13.8,8.2,65.9,39.4,9.2,72.6
7.7,4.1,97.1,80.8,9.7,78.0
18.7,8.1,79.7,58.6,9.4,98.7
2.8,5.4,70.3,51.7,4.7,59.1
6.8,4.6,78.4,51.1,8.6,64.6
2.3,7.5,99.2,56.4,8.4,68.5
18.5,7.1,79.7,66.4,3.2,92.3
17.5,8.4,73.2,57.2,8.3,91.2
5.2,7.7,85.3,52.3,0.4,60.9
13.2,8.0,69.6,44.4,6.0,71.9
16.3,5.4,63.0,48.8,2.3,76.9
11.1,4.9,65.2,66.0,1.2,70.6
10.6,7.8,65.1,50.5,0.8,69.9
4.8,8.0,66.1,41.0,7.0,63.1
1.9,9.0,65.6,50.8,3.4,60.0
17.9,6.1,85.6,60.6,7.2,85.8
18.0,5.9,67.3,32.1,0.7,77.5
12.7,7.9,73.8,56.5,3.2,75.5
6.8,5.7,95.9,66.1,5.4,79.5
7.0,8.7,79.0,65.1,7.9,70.6
14.5,8.3,86.7,78.1,3.2,92.2
17.9,6.1,66.9,62.5,6.3,85.6
17.7,7.8,67.7,51.7,8.9,83.0
15.6,7.8,61.6,41.9,6.2,74.6
