Accident ID,Date,Time,Location,Latitude,Longitude,Weather Condition,Road Condition,Vehicles Involved,Casualties,Cause
16bac27f,7/30/23,15:40,"New York, USA",-57.258756,-126.27126,Hail,Icy,4,7,Speeding
37c6c4a9,6/4/23,23:45,"Beijing, China",-55.40796,97.298605,Hail,Icy,3,7,Reckless Driving
bf023036,6/15/24,11:50,"Berlin, Germany",15.090995,-74.124001,Rain,Icy,2,4,Reckless Driving
3c7895e3,6/29/23,5:02,"Beijing, China",-76.277212,42.303331,Hail,Dry,5,3,Speeding
e72d1cf5,11/11/24,23:49,"Beijing, China",-2.020858,120.77658,Fog,Dry,4,7,Mechanical Failure
aa4e6464,3/6/24,20:07,"New York, USA",-70.376112,-45.300733,Hail,Wet,2,9,Drunk Driving
8dfdb70f,9/7/24,6:58,"London, UK",2.131448,98.8593,Storm,Icy,4,7,Mechanical Failure
b8370c74,12/31/23,7:05,"London, UK",5.804818,129.324357,Storm,Snowy,5,5,Distracted Driving
6625614f,2/2/24,14:01,"Mumbai, India",34.304319,59.339816,Rain,Snowy,2,10,Reckless Driving
711fc466,8/5/24,4:22,"Tokyo, Japan",-22.553996,138.224377,Fog,Wet,5,6,Weather Conditions
9b2f8106,4/25/23,1:07,"Mumbai, India",44.539495,159.23528,Snow,Snowy,4,6,Distracted Driving
abb826f0,7/3/24,4:19,"Paris, France",-17.507656,140.222556,Rain,Icy,4,1,Weather Conditions
e281c08e,5/18/23,23:16,"Berlin, Germany",-20.243424,-45.103983,Rain,Snowy,4,4,Reckless Driving
a9d0cf19,11/29/24,10:30,"Tokyo, Japan",-43.350751,84.996923,Snow,Snowy,1,7,Reckless Driving
3c3e4300,1/17/23,15:09,"New York, USA",78.681556,31.476773,Clear,Under Construction,3,9,Reckless Driving
1a1180b0,12/26/23,3:54,"New York, USA",64.804801,103.972328,Fog,Gravel,3,8,Mechanical Failure
1293b087,3/3/24,22:04,"Mumbai, India",70.367528,-89.76046,Hail,Icy,2,8,Speeding
6b537dbb,7/2/23,1:05,"Berlin, Germany",19.094991,-111.565121,Hail,Snowy,3,5,Mechanical Failure
7b2ae6a0,10/22/24,5:42,"Paris, France",87.866753,154.298074,Hail,Icy,1,10,Weather Conditions
a0cd4c93,11/5/24,20:59,"Sydney, Australia",-58.030769,-31.404339,Storm,Under Construction,2,4,Mechanical Failure
5b0db5ef,11/18/24,16:34,"Toronto, Canada",0.224393,-159.053839,Fog,Snowy,5,5,Weather Conditions
4b80231c,7/26/23,12:23,"Toronto, Canada",88.36597,-11.441761,Hail,Snowy,2,6,Speeding
b8adaf03,3/23/24,5:55,"New York, USA",8.790048,-172.043763,Clear,Icy,1,7,Mechanical Failure
9f707f7c,7/17/24,13:08,"New York, USA",27.340188,-37.116412,Rain,Snowy,1,9,Distracted Driving
2aa0a683,7/26/24,3:25,"Paris, France",47.697633,27.750282,Storm,Snowy,1,3,Mechanical Failure
8edf9936,12/22/23,4:03,"Paris, France",24.596828,-58.533915,Hail,Wet,4,3,Speeding
c4914863,5/29/24,16:57,"Beijing, China",-50.691802,-50.930463,Hail,Icy,2,0,Mechanical Failure
2d754779,3/12/24,14:47,"Paris, France",35.23523,-87.093572,Storm,Gravel,4,9,Weather Conditions
ab0bf26a,7/5/24,11:32,"Tokyo, Japan",73.274437,147.323992,Rain,Under Construction,5,10,Reckless Driving
efdd392d,3/4/24,11:01,"Toronto, Canada",83.854403,-153.258055,Hail,Wet,4,7,Drunk Driving
7cc158be,7/24/24,20:47,"Tokyo, Japan",-89.775139,-152.005303,Rain,Dry,5,3,Mechanical Failure
5a49bde8,12/21/24,9:31,"London, UK",80.585201,-141.916596,Snow,Wet,2,10,Speeding
e3f78c1d,12/21/24,19:02,"Tokyo, Japan",48.022059,-173.779065,Hail,Snowy,1,8,Weather Conditions
dc113f24,5/16/24,0:37,"New York, USA",65.92936,42.129196,Clear,Wet,2,2,Reckless Driving
80a90a04,10/29/23,1:14,"Berlin, Germany",-63.882884,-149.304063,Snow,Gravel,3,1,Speeding
740f4d46,10/5/23,21:56,"Berlin, Germany",66.953341,-46.007501,Storm,Snowy,1,8,Distracted Driving
370c159a,2/23/23,13:24,"London, UK",34.023057,139.600976,Storm,Gravel,1,3,Drunk Driving
825dfc83,10/27/23,17:02,"Tokyo, Japan",59.328323,41.843209,Snow,Gravel,3,3,Reckless Driving
64cd8517,5/11/24,22:45,"London, UK",53.32785,68.244045,Fog,Icy,1,3,Mechanical Failure
5e31baae,5/16/24,16:23,"Sydney, Australia",-23.343973,-157.285425,Rain,Gravel,2,10,Drunk Driving
7ca5bd8b,2/13/23,18:06,"Mumbai, India",-49.585552,172.472245,Fog,Dry,4,8,Weather Conditions
bc4dcd1a,5/29/23,21:10,"Sydney, Australia",88.958166,6.391456,Storm,Dry,3,9,Distracted Driving
9866b47e,5/11/23,1:11,"Mumbai, India",61.105044,-152.109474,Hail,Wet,5,2,Reckless Driving
5672fd96,4/10/23,23:59,"Toronto, Canada",51.534533,122.768047,Fog,Under Construction,1,5,Weather Conditions
e892414b,4/2/24,8:26,"Mumbai, India",20.038202,110.300425,Fog,Snowy,2,1,Reckless Driving
1230c629,4/20/24,9:42,"New York, USA",5.576597,-133.666338,Snow,Dry,5,8,Weather Conditions
111796cc,9/8/24,13:15,"Paris, France",-38.755434,7.382182,Snow,Snowy,2,4,Mechanical Failure
16bf82ff,3/3/23,8:42,"Tokyo, Japan",42.79053,47.30902,Fog,Dry,1,2,Distracted Driving
6358a009,5/9/24,16:02,"London, UK",68.279232,-15.639471,Rain,Under Construction,4,6,Speeding
28fd492a,12/18/23,3:06,"Sydney, Australia",19.622841,87.516278,Clear,Gravel,5,7,Distracted Driving
3fe71565,11/15/24,2:33,"New York, USA",33.41476,102.461224,Rain,Snowy,4,2,Distracted Driving
db3e72fc,8/11/23,6:22,"London, UK",-70.19704,1.942599,Hail,Under Construction,1,2,Drunk Driving
e950cfed,6/1/24,12:42,"Tokyo, Japan",-87.539052,124.622092,Fog,Under Construction,3,0,Reckless Driving
0212c806,12/19/24,23:59,"Toronto, Canada",71.435978,-41.106259,Clear,Gravel,5,8,Weather Conditions
d55754c3,3/2/24,22:55,"Mumbai, India",36.678175,-13.852731,Clear,Icy,4,4,Mechanical Failure
3ecf8102,7/26/24,23:05,"New York, USA",7.767595,-73.557168,Rain,Gravel,4,8,Drunk Driving
98d1e2b0,10/31/23,21:30,"Tokyo, Japan",89.393762,-55.597151,Clear,Snowy,5,6,Weather Conditions
29c7be17,2/14/24,18:01,"Berlin, Germany",80.72364,-76.086311,Rain,Under Construction,2,3,Reckless Driving
73802912,3/4/24,9:25,"Paris, France",-38.89548,-53.126606,Fog,Dry,4,9,Drunk Driving
089c6f6f,6/30/23,21:31,"Sydney, Australia",-59.648389,66.962293,Clear,Wet,5,10,Weather Conditions
101e3a42,3/9/23,10:06,"London, UK",57.43992,-98.712111,Rain,Gravel,1,8,Mechanical Failure
a1a99d87,3/31/23,2:15,"Toronto, Canada",70.795418,-75.391622,Snow,Wet,5,0,Drunk Driving
f99faabe,5/3/23,11:03,"London, UK",-43.499877,5.606172,Storm,Under Construction,3,7,Weather Conditions
4d245678,2/12/23,15:27,"Sydney, Australia",6.620879,151.94343,Hail,Wet,1,6,Mechanical Failure
af075e12,11/9/23,2:43,"Paris, France",43.86887,16.213381,Storm,Snowy,2,10,Mechanical Failure
993bb83f,1/4/23,17:36,"Berlin, Germany",81.548044,-126.337754,Hail,Icy,2,8,Speeding
401347ff,10/2/23,1:11,"Beijing, China",-81.557032,-120.118633,Snow,Icy,1,3,Mechanical Failure
0400b61a,6/2/24,8:47,"Toronto, Canada",89.800022,84.746185,Storm,Gravel,1,7,Mechanical Failure
82ea3d4b,12/13/23,1:26,"Beijing, China",-70.260321,-114.069526,Storm,Gravel,1,1,Drunk Driving
71b7ccc5,3/17/23,16:15,"New York, USA",-85.442543,-103.122266,Hail,Under Construction,5,10,Speeding
2bd24a9b,5/25/24,15:56,"New York, USA",53.413394,-174.679275,Storm,Dry,2,9,Speeding
c21ff117,6/8/23,10:22,"Mumbai, India",-63.822386,-158.602115,Fog,Wet,4,9,Drunk Driving
ea805df3,9/13/24,11:25,"Toronto, Canada",12.205643,82.347043,Snow,Wet,4,6,Speeding
ccff438f,7/24/24,1:26,"Paris, France",19.779925,-94.543592,Fog,Wet,1,4,Weather Conditions
169c01e9,3/18/24,5:33,"Tokyo, Japan",51.63156,-121.616667,Storm,Snowy,4,0,Drunk Driving
fe219f6d,12/5/23,3:34,"Sydney, Australia",-50.852214,5.023068,Rain,Snowy,4,1,Reckless Driving
7d30ff27,2/7/23,6:17,"Toronto, Canada",31.758845,-58.705443,Rain,Wet,3,7,Drunk Driving
0519c96d,5/25/23,0:36,"Berlin, Germany",-80.730538,-12.067712,Snow,Under Construction,1,6,Distracted Driving
bf37bcfd,2/23/23,9:57,"Paris, France",-16.545287,176.907926,Clear,Icy,3,0,Drunk Driving
46b83a65,4/2/23,7:03,"Paris, France",-48.072513,-3.942919,Rain,Icy,5,2,Distracted Driving
039897c4,6/20/23,12:14,"Sydney, Australia",-23.27527,-37.072307,Fog,Gravel,3,7,Distracted Driving
75cb27bb,5/12/24,17:29,"Tokyo, Japan",-72.722933,72.205735,Snow,Dry,5,0,Weather Conditions
31af7762,4/15/24,14:37,"New York, USA",-13.023397,167.370163,Hail,Under Construction,5,7,Speeding
c8ed5499,4/7/24,11:52,"London, UK",36.667403,149.890448,Rain,Gravel,4,6,Drunk Driving
84cce960,3/16/24,14:45,"Tokyo, Japan",30.235793,-158.723491,Rain,Gravel,1,4,Mechanical Failure
eac84238,11/30/24,5:25,"London, UK",31.923583,28.377009,Fog,Snowy,3,3,Mechanical Failure
ce2bcb13,9/22/24,15:43,"Mumbai, India",-86.470763,152.550244,Storm,Dry,1,9,Distracted Driving
a57e80e2,1/23/24,15:13,"Beijing, China",-25.548982,-165.855214,Rain,Snowy,3,5,Weather Conditions
f702d046,2/5/24,14:25,"Sydney, Australia",60.994243,-52.163771,Fog,Under Construction,4,10,Distracted Driving
ac6fa383,3/17/24,12:21,"Beijing, China",73.439688,89.317446,Clear,Under Construction,4,4,Speeding
1bf13687,10/29/24,7:29,"New York, USA",-64.944034,-114.444453,Storm,Gravel,3,3,Reckless Driving
b1b87728,4/16/24,16:51,"Mumbai, India",-65.246474,-77.538752,Snow,Under Construction,1,0,Reckless Driving
ec12d39f,1/21/24,20:01,"Beijing, China",83.786801,4.06288,Storm,Wet,2,4,Drunk Driving
59debdf9,3/1/24,19:41,"Tokyo, Japan",-73.444805,-45.929811,Hail,Dry,3,1,Distracted Driving
f4bc382a,12/12/23,6:09,"Berlin, Germany",53.058686,138.030407,Storm,Dry,3,2,Reckless Driving
119c2f2c,1/14/23,12:43,"Mumbai, India",-53.308374,106.779455,Rain,Icy,1,9,Mechanical Failure
7b57aff9,9/14/24,7:54,"Paris, France",-42.471079,-3.845032,Rain,Under Construction,1,1,Drunk Driving
464f4620,10/2/23,9:41,"Mumbai, India",31.15509,-28.635153,Fog,Dry,3,2,Speeding
cee21d87,1/25/23,5:35,"Mumbai, India",-13.20316,95.991458,Snow,Gravel,4,8,Drunk Driving
7ff9b12e,6/19/24,15:22,"Mumbai, India",58.529319,-107.462924,Clear,Under Construction,1,1,Speeding
2c9e1d03,12/21/23,12:16,"Paris, France",37.342756,-60.6151,Hail,Under Construction,2,0,Drunk Driving
b553db5c,7/22/23,16:39,"Tokyo, Japan",80.896983,112.584976,Clear,Icy,3,10,Reckless Driving
28c9195b,10/24/24,18:44,"Sydney, Australia",-77.74994,9.119148,Hail,Snowy,1,1,Reckless Driving
a76f66b9,10/6/24,19:43,"Sydney, Australia",55.959387,102.3067,Hail,Icy,3,1,Weather Conditions
df155b4f,12/3/23,14:16,"London, UK",86.902721,136.860454,Fog,Wet,2,9,Mechanical Failure
d39da039,4/15/24,20:21,"Paris, France",-5.763022,168.742441,Snow,Dry,3,9,Speeding
d0ec6e43,9/7/23,17:50,"London, UK",34.376546,152.223027,Hail,Gravel,4,0,Drunk Driving
7a5c4131,2/4/23,21:44,"Mumbai, India",-46.484305,90.231688,Clear,Icy,5,3,Mechanical Failure
8c5cd407,6/5/24,10:44,"Sydney, Australia",-42.617088,-176.933944,Storm,Wet,3,5,Mechanical Failure
cd03105e,6/19/23,8:38,"Toronto, Canada",-55.253482,-20.549268,Storm,Under Construction,5,3,Drunk Driving
a2a91045,9/1/23,11:24,"Berlin, Germany",22.281166,-46.12144,Storm,Wet,3,5,Weather Conditions
291fcc3a,1/8/23,13:23,"Mumbai, India",25.884671,-2.42359,Clear,Dry,2,1,Reckless Driving
89e541d1,8/3/23,23:44,"Toronto, Canada",76.449464,-83.231948,Hail,Dry,1,1,Drunk Driving
bea57697,12/26/24,12:45,"Berlin, Germany",-66.533029,-6.128857,Clear,Snowy,4,10,Drunk Driving
30597601,8/10/24,18:11,"Toronto, Canada",25.660334,112.55992,Storm,Gravel,1,0,Speeding
27a971ed,2/2/23,5:04,"Tokyo, Japan",85.64277,49.378699,Storm,Snowy,5,8,Weather Conditions
88e2293b,12/9/24,23:12,"Toronto, Canada",-39.191186,-114.729832,Hail,Wet,3,0,Speeding
80f83c3a,2/4/24,15:28,"Berlin, Germany",11.628031,97.159763,Hail,Icy,1,8,Speeding
39638ab7,2/2/24,6:11,"London, UK",-80.025521,-128.678675,Hail,Wet,4,8,Weather Conditions
934ea00a,8/18/23,13:22,"Mumbai, India",81.155044,-19.302741,Clear,Wet,2,7,Drunk Driving
9f48378c,5/16/24,1:28,"Berlin, Germany",-77.99907,104.591541,Storm,Wet,1,3,Mechanical Failure
0b26ea8b,10/16/24,12:15,"Sydney, Australia",-64.132399,-166.807914,Hail,Under Construction,4,6,Mechanical Failure
2cd1fead,4/10/24,23:37,"London, UK",-68.516658,101.364236,Rain,Under Construction,5,5,Speeding
166135bf,9/6/24,9:56,"Sydney, Australia",-82.380707,-155.13997,Fog,Icy,1,5,Mechanical Failure
80c7c52d,12/2/23,8:37,"Beijing, China",47.135917,76.335789,Rain,Gravel,5,10,Drunk Driving
aff36b25,4/22/24,12:03,"London, UK",17.081984,-52.928418,Snow,Wet,5,7,Speeding
2e08c3bb,1/5/23,11:20,"Tokyo, Japan",-43.450996,14.722666,Clear,Wet,2,9,Mechanical Failure
7b73d315,1/26/23,10:10,"New York, USA",-19.246588,-165.365953,Fog,Gravel,4,1,Reckless Driving
c7fd4d01,9/2/23,10:23,"Sydney, Australia",-44.668523,28.948458,Rain,Under Construction,2,2,Weather Conditions
50722706,10/7/23,20:11,"Berlin, Germany",-9.458885,4.486301,Storm,Under Construction,1,3,Speeding
d79c64ae,6/21/24,20:53,"New York, USA",77.65359,120.743353,Hail,Under Construction,3,8,Distracted Driving
9fdeb7a8,5/30/24,1:52,"Sydney, Australia",-50.816101,101.218695,Snow,Under Construction,4,2,Mechanical Failure
423cddd1,12/30/24,18:13,"Sydney, Australia",-50.723226,-131.344949,Fog,Snowy,2,8,Reckless Driving
1511d1d0,1/25/23,10:01,"Paris, France",13.487416,-31.094917,Snow,Under Construction,2,2,Speeding
d3751ca4,5/6/23,7:51,"Sydney, Australia",-34.298934,-121.070635,Rain,Wet,3,4,Speeding
9745978a,4/13/23,17:31,"Paris, France",75.62567,-23.33119,Fog,Wet,1,3,Distracted Driving
6e986d41,3/27/24,19:10,"Berlin, Germany",75.675301,72.086922,Storm,Under Construction,5,5,Reckless Driving
864c5f71,6/29/23,1:14,"Paris, France",-71.244207,59.33442,Fog,Dry,1,4,Speeding
47523526,9/28/23,22:52,"Sydney, Australia",-32.311048,18.780282,Fog,Wet,4,7,Speeding
9a97f6b6,9/1/23,6:18,"Paris, France",-81.523717,122.373375,Storm,Wet,5,4,Distracted Driving
f565be4d,9/8/23,22:01,"Mumbai, India",-89.580214,-21.356622,Snow,Icy,5,0,Mechanical Failure
0dcba104,6/28/23,10:40,"Paris, France",55.384924,-98.263088,Storm,Snowy,5,9,Distracted Driving
923a0cce,5/4/23,21:48,"Mumbai, India",0.262952,-72.734407,Fog,Under Construction,2,4,Reckless Driving
fd10c55d,2/15/24,11:57,"Tokyo, Japan",-11.358261,143.541624,Fog,Gravel,4,2,Weather Conditions
309c1683,6/23/23,12:16,"London, UK",-66.440758,179.507776,Storm,Under Construction,3,3,Speeding
be604d21,5/8/24,16:08,"Toronto, Canada",24.88936,-158.436604,Hail,Wet,4,6,Drunk Driving
eedaee2f,9/27/23,11:59,"Mumbai, India",48.869959,51.035593,Hail,Gravel,1,6,Speeding
321f2849,1/30/24,20:15,"Paris, France",20.535769,-10.746712,Storm,Dry,3,8,Reckless Driving
af8d7c02,2/16/23,14:16,"Beijing, China",78.069213,177.097763,Clear,Under Construction,2,2,Mechanical Failure
0d915a55,2/22/24,3:29,"Toronto, Canada",2.852496,-38.628528,Snow,Icy,3,0,Weather Conditions
6d204d29,6/14/23,14:15,"Sydney, Australia",8.305243,-105.45683,Storm,Snowy,1,4,Mechanical Failure
5.03E+252,4/16/24,12:04,"Sydney, Australia",61.500968,-161.161516,Snow,Icy,4,5,Drunk Driving
1b90ecc8,11/9/23,17:38,"Beijing, China",31.429314,-87.256604,Clear,Gravel,1,5,Speeding
006b229d,8/19/23,16:30,"Paris, France",4.758211,105.85129,Clear,Dry,3,8,Distracted Driving
8c37d070,8/29/24,12:51,"Berlin, Germany",-35.437936,62.882285,Rain,Snowy,3,1,Distracted Driving
cd9d321f,4/19/23,11:54,"Tokyo, Japan",-13.169407,65.09676,Hail,Gravel,2,1,Drunk Driving
e9a000a4,4/3/24,6:33,"New York, USA",24.00551,-162.920622,Storm,Gravel,5,4,Drunk Driving
a444b82f,10/25/24,10:01,"Sydney, Australia",37.890441,8.762644,Clear,Dry,1,4,Mechanical Failure
0731eb13,8/11/24,5:56,"Tokyo, Japan",35.1199,72.693664,Hail,Wet,3,6,Weather Conditions
9cc59405,4/21/24,18:21,"New York, USA",-45.37757,-151.912158,Hail,Dry,4,5,Distracted Driving
0688d839,2/27/23,5:27,"London, UK",67.50105,94.926875,Storm,Snowy,5,10,Weather Conditions
a1203994,10/1/23,18:52,"Sydney, Australia",55.688124,-33.4867,Hail,Under Construction,3,8,Drunk Driving
fc3e8eb2,8/30/24,17:09,"New York, USA",66.77231,-12.020427,Snow,Wet,3,4,Distracted Driving
da70549e,5/5/23,5:15,"Toronto, Canada",-68.399323,19.981716,Storm,Gravel,5,9,Speeding
54f9ac61,12/19/23,6:38,"Tokyo, Japan",10.618161,-11.63618,Hail,Wet,3,6,Weather Conditions
506e3067,4/10/24,9:41,"Sydney, Australia",19.249923,98.911958,Snow,Dry,1,0,Weather Conditions
4b3a2004,8/25/23,3:23,"Mumbai, India",-76.306655,37.541163,Rain,Dry,3,3,Weather Conditions
d7c9bd50,1/10/24,4:28,"Paris, France",4.67085,160.038046,Snow,Icy,3,5,Speeding
fd561717,3/4/23,16:04,"Paris, France",-74.516409,-124.474597,Storm,Gravel,1,8,Distracted Driving
b93e54c7,4/24/23,13:02,"London, UK",87.370053,-157.755527,Clear,Dry,2,7,Distracted Driving
255efb1a,1/15/24,18:15,"London, UK",1.56102,-48.344498,Snow,Gravel,2,8,Reckless Driving
49127f2e,4/4/24,11:29,"Paris, France",55.743492,-39.357987,Rain,Icy,3,8,Drunk Driving
059aaa13,9/20/24,20:42,"Tokyo, Japan",11.108757,18.931553,Snow,Gravel,3,4,Mechanical Failure
d5ae5e01,8/22/23,15:22,"Berlin, Germany",46.630176,-131.103049,Fog,Icy,4,10,Reckless Driving
ddb76b46,10/17/23,22:06,"Tokyo, Japan",-58.470144,-177.687988,Rain,Wet,4,6,Speeding
b9ccc699,7/14/23,12:26,"Paris, France",20.047501,53.961297,Rain,Snowy,2,4,Reckless Driving
0078615f,11/8/24,1:11,"Toronto, Canada",57.428378,48.521889,Snow,Icy,4,6,Distracted Driving
44ef1076,4/15/23,20:04,"London, UK",15.253669,32.427841,Fog,Gravel,1,2,Drunk Driving
607fc1b1,10/5/24,11:58,"Beijing, China",43.375822,23.586973,Fog,Wet,1,9,Reckless Driving
ac4c7e62,2/16/23,15:44,"Mumbai, India",-20.06506,-51.99451,Clear,Gravel,2,2,Distracted Driving
3c748c0f,6/14/23,21:16,"Sydney, Australia",-25.618757,159.253553,Rain,Under Construction,1,10,Distracted Driving
c046f9d4,3/11/24,20:45,"Toronto, Canada",-82.663154,-12.801319,Hail,Dry,4,0,Reckless Driving
80a40d89,7/13/23,23:46,"Tokyo, Japan",-88.893105,40.973955,Hail,Under Construction,4,7,Weather Conditions
8287e9d8,6/4/23,6:33,"Berlin, Germany",-36.289014,-131.04878,Hail,Snowy,5,10,Distracted Driving
0a65a267,4/7/23,13:41,"Beijing, China",63.679129,82.137013,Fog,Wet,5,9,Weather Conditions
2d21a55c,12/7/24,9:46,"Paris, France",28.128941,-48.61723,Storm,Snowy,1,9,Reckless Driving
fbb6bf69,7/12/24,20:22,"Berlin, Germany",45.11049,55.096258,Snow,Gravel,3,10,Weather Conditions
0a9c5de6,12/26/24,3:27,"New York, USA",47.974465,111.760792,Storm,Wet,1,7,Drunk Driving
9f76a2d3,10/31/23,22:53,"Toronto, Canada",16.123109,173.370332,Clear,Icy,3,7,Speeding
9791a808,5/22/23,4:01,"Toronto, Canada",37.242224,66.922061,Clear,Dry,1,7,Distracted Driving
e9c40d53,2/23/23,8:39,"Beijing, China",42.047899,-83.259445,Storm,Gravel,5,9,Drunk Driving
853e0597,7/6/23,21:37,"Mumbai, India",-80.66585,40.382072,Rain,Under Construction,3,2,Speeding
4b5fcae4,2/18/24,23:49,"Toronto, Canada",-65.61862,-85.698898,Snow,Gravel,3,7,Weather Conditions
89c1c82f,6/24/24,1:04,"Berlin, Germany",-16.530477,109.883883,Storm,Gravel,1,2,Distracted Driving
4b15b849,10/21/24,10:44,"Toronto, Canada",-44.597504,-165.556371,Hail,Under Construction,1,9,Drunk Driving
1b970474,8/13/23,20:15,"Berlin, Germany",64.02854,78.20198,Storm,Wet,2,3,Drunk Driving
891b462b,2/15/24,4:41,"Mumbai, India",-6.391027,-75.007438,Snow,Wet,4,5,Drunk Driving
1e19c6e6,6/9/23,6:26,"Tokyo, Japan",75.033132,-147.804107,Hail,Wet,4,9,Reckless Driving
cf234ba6,11/29/24,6:51,"Mumbai, India",-16.977889,128.773135,Hail,Snowy,2,4,Weather Conditions
f996aaca,12/26/24,19:19,"Toronto, Canada",4.123323,-100.465346,Rain,Dry,3,6,Speeding
c600a265,4/14/23,10:40,"Sydney, Australia",-52.468134,-134.576873,Fog,Gravel,3,4,Speeding
291a3b8a,2/9/24,19:18,"Sydney, Australia",8.527853,-69.487479,Clear,Gravel,4,2,Speeding
8efd6d74,5/30/24,16:35,"Sydney, Australia",73.79454,150.386337,Clear,Icy,1,8,Reckless Driving
4d8ea593,11/13/23,1:36,"Mumbai, India",-25.029249,9.471806,Clear,Under Construction,2,8,Mechanical Failure
297e9bab,7/12/24,18:37,"London, UK",-23.263976,88.958398,Clear,Snowy,4,7,Distracted Driving
6d62e687,6/4/24,4:18,"Sydney, Australia",-5.702201,135.159737,Fog,Wet,1,9,Distracted Driving
e46fe059,12/2/23,22:44,"Toronto, Canada",-74.24895,-81.261489,Snow,Snowy,1,4,Speeding
